date,year,quarter,gap_viog,gap_inv_viog,gap_bhp,gap_cf,gap_bk,gap_bw,gap_kalman,source
2015-04-01,2015,2,0.00853713335417794,0.003955165767681734,0.002242344117394879,-0.004120282044594248,0.011714946289588468,-0.0005963013789589411,0.02053203474196863,DANE Cuentas Nacionales
2015-07-01,2015,3,0.009918614894267819,0.005101058023784688,0.005625695049944923,-0.006039853425733099,0.010092008316435752,0.003012161837910199,0.023187430748649263,DANE Cuentas Nacionales
2015-10-01,2015,4,0.0037013421476856934,-0.0001694991627214648,-0.003239617436983977,-0.004684932388247631,0.00775237934466233,-0.005490758296012643,0.013294961311686393,DANE Cuentas Nacionales
2016-01-01,2016,1,0.005299175866689154,0.0018447651263482356,-0.0003703132003085585,-0.001277583853774189,0.005549977486905888,-0.0021197133952330915,0.0148196758155823,DANE Cuentas Nacionales
2016-04-01,2016,2,0.005604369857406866,0.002602373499236421,0.0008050177081955212,0.0005355857742195269,0.003904216967942631,-0.00031679866485667674,0.014380191807463305,DANE Cuentas Nacionales
2016-07-01,2016,3,0.0030235313369928463,0.0004566547501934082,-0.0014390053014583515,-0.001421120582511648,0.002098545504191307,-0.0018303233212577652,0.010286829022257749,DANE Cuentas Nacionales
2016-10-01,2016,4,0.002649696794462031,0.00014524172710217442,0.0005053414894291564,-0.005380687555421204,-0.00028040698914288953,0.0009182245857068949,0.010167702801425094,DANE Cuentas Nacionales
2017-01-01,2017,1,-0.0017880012466644502,-0.003532758179815687,-0.004230477839930913,-0.00703155557699553,-0.0029495513191228895,-0.002978188446498109,0.003202437157383997,DANE Cuentas Nacionales
2017-04-01,2017,2,-0.001825862678851209,-0.0027245485224511867,-0.004160005984834569,-0.0035199734560436013,-0.0028822889823274522,-0.0020757964588060673,0.000888865981583109,DANE Cuentas Nacionales
2017-07-01,2017,3,0.0009594692769674396,0.0009679191712486102,-0.0021422224582217098,0.003320029816368475,0.0026263218759883245,0.0007123750237170157,0.00039948070630835275,DANE Cuentas Nacionales
2017-10-01,2017,4,0.0029184656564957834,0.003723113908232989,-0.0006858077768203685,0.008420597574307465,0.007342054542649024,0.0028143175866048864,-0.000743414525700814,DANE Cuentas Nacionales
2018-01-01,2018,1,0.0021168315690740513,0.0034954737517942647,-0.00037604925956991053,0.008534582948843905,0.006146890139003602,0.003577940157013515,-0.0031047850083467665,DANE Cuentas Nacionales
2018-04-01,2018,2,0.006591656372858523,0.007828719746624913,0.009876023115483079,0.006205991151240653,0.0017811348391401083,0.014026711174292217,0.004409190573733568,DANE Cuentas Nacionales
2018-07-01,2018,3,0.00831103624646623,0.010007329813644716,0.013038903160243365,0.008458123460513889,0.002809790789280342,0.01706751036508436,0.004824201707561926,DANE Cuentas Nacionales
2018-10-01,2018,4,0.013281999171338654,0.015957668450646167,0.016135633472948996,0.01982176424936455,0.013239749311267701,0.0196867227198112,0.005192926012137278,DANE Cuentas Nacionales
2019-01-01,2019,1,0.022278513909371966,0.025874463332243636,0.02255033692111219,0.036406700402412895,0.028752010806517347,0.025264120775373655,0.008951544999534988,DANE Cuentas Nacionales
2019-04-01,2019,2,0.027910816681258055,0.031890808694990724,0.02745021534588865,0.046030038827586495,0.03742010805872731,0.029001643965179014,0.011365767586148934,DANE Cuentas Nacionales
2019-07-01,2019,3,0.025053798489599544,0.028613273690591967,0.03024027142584096,0.036044013654883855,0.026727964510424584,0.030390608578709788,0.011973939841121606,DANE Cuentas Nacionales
2019-10-01,2019,4,0.014545640071048638,0.016483998224268603,0.03308349243544484,0.004473372807508369,-0.004894800610847128,0.03174065974028828,0.013127184430883787,DANE Cuentas Nacionales
2020-01-01,2020,1,-0.016930012945595152,-0.015212346311640701,0.008633485763601456,-0.03714468341315502,-0.04627451153539042,0.00591608015721512,-0.012224411271542834,DANE Cuentas Nacionales
2020-04-01,2020,2,-0.14878978604558668,-0.13946677106280703,-0.1724749622235784,-0.08261009243985562,-0.09278618144365325,-0.17617114289004832,-0.19314484321948022,DANE Cuentas Nacionales
2020-07-01,2020,3,-0.09411239957416306,-0.09117015141880813,-0.08567679373648573,-0.08624366758601454,-0.09508003795682107,-0.08966292613170346,-0.10573044830455203,DANE Cuentas Nacionales
2020-10-01,2020,4,-0.04788802900389122,-0.04723841432034348,-0.025485536386176122,-0.06586383847203692,-0.07376948502167302,-0.02907686938755738,-0.0440061326745127,DANE Cuentas Nacionales
2021-01-01,2021,1,-0.021197523355706238,-0.020100474544046065,-0.0031695771857513932,-0.03399760882855141,-0.04131535491062799,-0.005834129228437845,-0.019208814606365365,DANE Cuentas Nacionales
2021-04-01,2021,2,-0.030120933678659867,-0.02639617999829902,-0.037744151870812814,-0.0027789679963952096,-0.00964175918155874,-0.039140383683264446,-0.05055489836886906,DANE Cuentas Nacionales
2021-07-01,2021,3,0.004414328662216249,0.006655227665831376,0.0019535494412252774,0.018764835455648665,0.013189148321178124,0.0019825682701029024,-0.00739409003497471,DANE Cuentas Nacionales
2021-10-01,2021,4,0.03228907788652613,0.03269792850674236,0.03834218699106451,0.027898923816875865,0.0239113210703632,0.03971345139107818,0.03254980025191756,DANE Cuentas Nacionales
2022-01-01,2022,1,0.031186230784726376,0.03162129722138651,0.03192846485726264,0.03191470106721184,0.029301074065942956,0.03433824782652195,0.029627798155404506,DANE Cuentas Nacionales
2022-04-01,2022,2,0.03627185614507766,0.0361297696362044,0.036768492573349576,0.03402464621487411,0.032744118505863895,0.03977864532481057,0.03760289176654652,DANE Cuentas Nacionales
2022-07-01,2022,3,0.03455159811562858,0.034318611632512486,0.03192471277092146,0.03488592172520555,0.034874630860665334,0.03503210738072582,0.0354172685844798,DANE Cuentas Nacionales
2022-10-01,2022,4,0.026838476245950815,0.026650721251280984,0.020586914608520246,0.031298822188345454,0.03243135968935995,0.023297831049188034,0.026176404386095697,DANE Cuentas Nacionales
2023-01-01,2023,1,0.02413054338176046,0.023196007581699263,0.021569976184238726,0.02107101549975887,0.023324254276573697,0.02346091144901763,0.028646252620372792,DANE Cuentas Nacionales
2023-04-01,2023,2,0.009459251106783029,0.008197705194609384,0.006219829417643652,0.007593876745648487,,0.0069733043346005275,0.014245315845020201,DANE Cuentas Nacionales
