date,year,quarter,gap_viog,gap_inv_viog,gap_bhp,gap_cf,gap_bk,gap_bw,gap_kalman,source,gap_ref
1978-01-01,1978,1,-0.004399810163553397,-0.0019729917840169975,-0.011918518452551652,0.006288987332707663,0.009449705721413793,-0.01133644540821166,-0.0009043912528010623,FRED/CBO,-0.011753775861773619
1978-04-01,1978,2,0.015594742666390715,0.007169226414987406,0.016872050045130038,0.011823199152329877,0.014517475475072317,0.019105928291114793,0.0003877490776726944,FRED/CBO,0.017501667940766907
1978-07-01,1978,3,0.018823910928203347,0.008863051295445956,0.01842813427242973,0.01800175504024004,0.019937002768196876,0.022076723017315558,0.0007005475020669394,FRED/CBO,0.018690865584686023
1978-10-01,1978,4,0.024099816312618927,0.011365537367977296,0.024111917345869927,0.023862765377380413,0.024539276385677766,0.028843411664265517,0.0010056132086084801,FRED/CBO,0.023140696837314678
1979-01-01,1979,1,0.0219084458609089,0.010493875936035124,0.0190809749637193,0.027897762972017404,0.027836315753873464,0.024501364035526052,0.0007653328769094969,FRED/CBO,0.015866993082207514
1979-04-01,1979,2,0.018282952798715613,0.008899934818144217,0.014168706623136629,0.027736787730379575,0.028021867349739438,0.019863361892133113,0.00046156246222750497,FRED/CBO,0.008244632975143773
1979-07-01,1979,3,0.016880373608305632,0.008254047323550395,0.016396910958558664,0.02226278642565127,0.023532667778397354,0.021961220878790044,0.00041190104266597416,FRED/CBO,0.006864174946320745
1979-10-01,1979,4,0.011662666962791945,0.0058270652164189585,0.014457289611188529,0.013081210292158474,0.015305889648608684,0.019517333070318443,0.00015495678525034862,FRED/CBO,0.0019284781073203305
1980-01-01,1980,1,0.006810993595010473,0.003487385742401372,0.013787104011147022,0.0032461182093346252,0.005787098400723778,0.018024403823380553,-0.0001686251695147689,FRED/CBO,-0.0017450504968365976
1980-04-01,1980,2,-0.011465441569418644,-0.004620869150462781,-0.010357783053061453,-0.0036968195265867365,-0.0016000586317996834,-0.007185076899423493,-0.0013282407921746398,FRED/CBO,-0.028685658924167967
1980-07-01,1980,3,-0.015692124903660343,-0.006309237518422606,-0.014557590724995961,-0.005364464479841402,-0.004212735066261075,-0.012594436272603815,-0.0013998760904740948,FRED/CBO,-0.0353090347475824
1980-10-01,1980,4,-0.005962581415563051,-0.0015758929575095948,0.0010689017684306634,-0.0018534455174794573,-0.0013587241178356635,0.001750048870965415,-0.00029230177893424525,FRED/CBO,-0.022536446816868505
1981-01-01,1981,1,0.005127805783379458,0.0038559523373393745,0.01765321659447494,0.0036777290351626135,0.00433947361486986,0.017021164373600683,0.0009737292181206669,FRED/CBO,-0.009390838884959507
1981-04-01,1981,2,-0.0011524902040900287,0.0017337025681527507,0.0072940508094951895,0.007127542445193313,0.008304809253694145,0.005357462488062126,0.0010627989492366652,FRED/CBO,-0.023502611257368855
1981-07-01,1981,3,0.0020265993704491336,0.0033003195278453745,0.01601487244706945,0.004743322977480702,0.005280631013055981,0.012852595124529742,0.0015506028394565163,FRED/CBO,-0.01859524692229364
1981-10-01,1981,4,-0.01170536740697159,-0.002711126035766398,0.0014432094085758962,-0.0042298150517599,-0.00553244783008644,-0.002784888606894853,0.00083787198833285,FRED/CBO,-0.0368589691986525
1982-01-01,1982,1,-0.03027639896829548,-0.01096190013124776,-0.018456275155291024,-0.01783090409976751,-0.02115292789580714,-0.02348195126995911,-0.0002755488596779543,FRED/CBO,-0.06002586373893415
1982-04-01,1982,2,-0.03628419397943716,-0.013813842395538956,-0.01895737735762104,-0.030935297878190937,-0.0353562820786415,-0.0244044573133273,-0.0006636889145159586,FRED/CBO,-0.06310955854321598
1982-07-01,1982,3,-0.0459711816626438,-0.01798177905392606,-0.02878814687466047,-0.03936553077457816,-0.04417230598203936,-0.034209820074499575,-0.0013129853957725146,FRED/CBO,-0.0746689603877222
1982-10-01,1982,4,-0.05065040068254767,-0.019778662466114483,-0.03542399157840492,-0.040051450050963666,-0.04566520056826917,-0.040340296284002264,-0.0016890448704938166,FRED/CBO,-0.08208857417209892
1983-01-01,1983,1,-0.04504754045721704,-0.01708952519465079,-0.030420230544294213,-0.03271116384458317,-0.040140602494467714,-0.03437199059411,-0.0013966980266033602,FRED/CBO,-0.07674905633775175
1983-04-01,1983,2,-0.03213836341709886,-0.011310160456707408,-0.017000790036608038,-0.020096566000098903,-0.029892475142235142,-0.019612802666349793,-0.0006244046571559636,FRED/CBO,-0.062125571437649185
1983-07-01,1983,3,-0.020570524972018944,-0.006119422067115465,-0.007154487633483697,-0.006031286110363965,-0.01741838042616628,-0.008185893018490376,2.5023872076701537e-05,FRED/CBO,-0.050375895352244626
1983-10-01,1983,4,-0.009069290682161224,-0.0011083592280485277,0.0028468442616276235,0.0065571411556604176,-0.0051822504508241,0.003480470868439056,0.0005719034056781425,FRED/CBO,-0.03803720865977667
1984-01-01,1984,1,6.261545300567661e-05,0.002752407280635083,0.011044665028347112,0.015762714393600774,0.004031890850525244,0.013270341701387522,0.0008918208443535747,FRED/CBO,-0.02804707484266622
